index,X,Y,Z,image_path,beam
3373,81.67746153,-1.875,50,images_vision_drones/run17/dronecam3/image3955.jpg,48
1528,150.9582058,1.875,50,images_vision_drones/run8/dronecam2/image822.jpg,20
1869,46.20831932,-5.625,50,images_vision_drones/run10/dronecam1/image2682.jpg,76
19,154.4541271,5.625,50,images_vision_drones/run7/dronecam2/image168.jpg,18
682,132.4033043,5.625,50,images_vision_drones/run3/dronecam2/image479.jpg,24
219,49.88066827,-5.625,50,images_vision_drones/run1/dronecam1/image836.jpg,73
2281,46.39031809,-1.875,50,images_vision_drones/run12/dronecam1/image4166.jpg,76
2026,128.2766618,-5.625,50,images_vision_drones/run10/dronecam3/image2817.jpg,27
2044,139.2191074,-5.625,50,images_vision_drones/run10/dronecam3/image2835.jpg,24
3289,150.8839025,-5.625,50,images_vision_drones/run16/dronecam3/image3530.jpg,21
958,99.77331048,-5.625,50,images_vision_drones/run4/dronecam3/image1862.jpg,37
930,82.91990338,-5.625,50,images_vision_drones/run4/dronecam3/image1834.jpg,47
1400,123.4806721,-5.625,50,images_vision_drones/run6/dronecam3/image4503.jpg,28
2935,75.08950805,-1.875,50,images_vision_drones/run15/dronecam1/image2027.jpg,53
144,79.2103392,5.625,50,images_vision_drones/run7/dronecam1/image291.jpg,18
2255,87.4737706,5.625,50,images_vision_drones/run11/dronecam2/image3601.jpg,43
3300,40.86486561,-1.875,50,images_vision_drones/run17/dronecam1/image3898.jpg,80
1934,38.3054419,-5.625,50,images_vision_drones/run10/dronecam2/image2669.jpg,82
2933,73.8265212,-1.875,50,images_vision_drones/run15/dronecam1/image2025.jpg,54
1197,50.52310629,-1.875,50,images_vision_drones/run5/dronecam1/image2348.jpg,73
2082,71.77698279,5.625,50,images_vision_drones/run11/dronecam1/image3627.jpg,55
2468,149.1891181,-1.875,50,images_vision_drones/run12/dronecam3/image4328.jpg,21
3035,130.180786,-1.875,50,images_vision_drones/run15/dronecam3/image2117.jpg,25
1764,133.6417435,1.875,50,images_vision_drones/run9/dronecam2/image1449.jpg,24
983,114.8209954,-5.625,50,images_vision_drones/run4/dronecam3/image1887.jpg,31
143,78.55910023,5.625,50,images_vision_drones/run7/dronecam2/image292.jpg,18
2635,106.9622419,1.875,50,images_vision_drones/run13/dronecam2/image785.jpg,33
730,103.2964417,5.625,50,images_vision_drones/run3/dronecam2/image527.jpg,34
2391,100.3279601,-1.875,50,images_vision_drones/run12/dronecam3/image4251.jpg,37
63,127.4191476,5.625,50,images_vision_drones/run7/dronecam2/image212.jpg,18
2165,141.576938,5.625,50,images_vision_drones/run11/dronecam2/image3511.jpg,22
3463,136.2262687,-1.875,50,images_vision_drones/run17/dronecam3/image4045.jpg,24
3169,78.71318622,-5.625,50,images_vision_drones/run16/dronecam3/image3410.jpg,50
3302,42.40373869,-1.875,50,images_vision_drones/run17/dronecam1/image3900.jpg,79
538,119.5520987,1.875,50,images_vision_drones/run2/dronecam2/image1491.jpg,28
2997,106.9199082,-1.875,50,images_vision_drones/run15/dronecam3/image2079.jpg,33
1769,130.5729642,1.875,50,images_vision_drones/run9/dronecam2/image1454.jpg,25
476,40.66172792,1.875,50,images_vision_drones/run2/dronecam1/image1621.jpg,81
2786,133.6447887,5.625,50,images_vision_drones/run14/dronecam2/image1375.jpg,24
1745,145.1103601,1.875,50,images_vision_drones/run9/dronecam2/image1430.jpg,22
2855,91.89526148,5.625,50,images_vision_drones/run14/dronecam2/image1444.jpg,40
1414,131.8771548,-5.625,50,images_vision_drones/run6/dronecam3/image4517.jpg,26
2247,92.2207417,5.625,50,images_vision_drones/run11/dronecam2/image3593.jpg,40
1412,130.7394339,-5.625,50,images_vision_drones/run6/dronecam3/image4515.jpg,26
1206,57.18213448,-1.875,50,images_vision_drones/run5/dronecam1/image2357.jpg,67
