index,X,Y,Z,image_path,beam
1,140.6044484,-5.625,50,images_vision_drones\run1\dronecam1\image984.jpg,55
2,141.2390271,-5.625,50,images_vision_drones\run1\dronecam1\image985.jpg,56
3,141.8736058,-5.625,50,images_vision_drones\run1\dronecam1\image986.jpg,56
4,142.5081846,-5.625,50,images_vision_drones\run1\dronecam1\image987.jpg,56
5,143.0326298,-5.625,50,images_vision_drones\run1\dronecam1\image988.jpg,56
6,143.6672085,-5.625,50,images_vision_drones\run1\dronecam1\image989.jpg,57
7,144.3017872,-5.625,50,images_vision_drones\run1\dronecam1\image990.jpg,57
8,144.936366,-5.625,50,images_vision_drones\run1\dronecam1\image991.jpg,57
9,145.4608112,-5.625,50,images_vision_drones\run1\dronecam1\image992.jpg,58
10,146.0953899,-5.625,50,images_vision_drones\run1\dronecam1\image993.jpg,58
11,146.7299687,-5.625,50,images_vision_drones\run1\dronecam1\image994.jpg,58
12,147.3645474,-5.625,50,images_vision_drones\run1\dronecam1\image995.jpg,59
13,147.8889926,-5.625,50,images_vision_drones\run1\dronecam1\image996.jpg,59
14,148.5235713,-5.625,50,images_vision_drones\run1\dronecam1\image997.jpg,59
15,149.1581501,-5.625,50,images_vision_drones\run1\dronecam1\image998.jpg,59
16,149.7927288,-5.625,50,images_vision_drones\run1\dronecam1\image999.jpg,60
17,49.24608955,-5.625,50,images_vision_drones\run1\dronecam2\image835.jpg,17
18,49.88066827,-5.625,50,images_vision_drones\run1\dronecam2\image836.jpg,17
19,50.515247,-5.625,50,images_vision_drones\run1\dronecam2\image837.jpg,17
20,51.14982573,-5.625,50,images_vision_drones\run1\dronecam2\image838.jpg,17
21,51.67427096,-5.625,50,images_vision_drones\run1\dronecam2\image839.jpg,17
22,52.30884968,-5.625,50,images_vision_drones\run1\dronecam2\image840.jpg,17
23,52.83329491,-5.625,50,images_vision_drones\run1\dronecam2\image841.jpg,18
24,53.46787364,-5.625,50,images_vision_drones\run1\dronecam2\image842.jpg,18
25,54.10245236,-5.625,50,images_vision_drones\run1\dronecam2\image843.jpg,18
26,54.73703109,-5.625,50,images_vision_drones\run1\dronecam2\image844.jpg,18
27,55.26147632,-5.625,50,images_vision_drones\run1\dronecam2\image845.jpg,18
28,55.89605505,-5.625,50,images_vision_drones\run1\dronecam2\image846.jpg,18
29,56.53063377,-5.625,50,images_vision_drones\run1\dronecam2\image847.jpg,18
30,57.1652125,-5.625,50,images_vision_drones\run1\dronecam2\image848.jpg,18
31,57.79979123,-5.625,50,images_vision_drones\run1\dronecam2\image849.jpg,18
32,58.43436995,-5.625,50,images_vision_drones\run1\dronecam2\image850.jpg,18
33,59.06894868,-5.625,50,images_vision_drones\run1\dronecam2\image851.jpg,18
34,59.59339391,-5.625,50,images_vision_drones\run1\dronecam2\image852.jpg,18
35,60.22797264,-5.625,50,images_vision_drones\run1\dronecam2\image853.jpg,19
36,60.75241786,-5.625,50,images_vision_drones\run1\dronecam2\image854.jpg,19
37,61.38699659,-5.625,50,images_vision_drones\run1\dronecam2\image855.jpg,19
38,61.91144182,-5.625,50,images_vision_drones\run1\dronecam2\image856.jpg,19
39,62.54602055,-5.625,50,images_vision_drones\run1\dronecam2\image857.jpg,19
40,63.18059927,-5.625,50,images_vision_drones\run1\dronecam2\image858.jpg,19
41,63.815178,-5.625,50,images_vision_drones\run1\dronecam2\image859.jpg,19
42,64.33962323,-5.625,50,images_vision_drones\run1\dronecam2\image860.jpg,19
43,64.97420196,-5.625,50,images_vision_drones\run1\dronecam2\image861.jpg,19
44,65.60878068,-5.625,50,images_vision_drones\run1\dronecam2\image862.jpg,19
45,66.24335941,-5.625,50,images_vision_drones\run1\dronecam2\image863.jpg,20
46,66.76780464,-5.625,50,images_vision_drones\run1\dronecam2\image864.jpg,20
47,67.29224987,-5.625,50,images_vision_drones\run1\dronecam2\image865.jpg,20
48,67.92682859,-5.625,50,images_vision_drones\run1\dronecam2\image866.jpg,20
49,68.56140732,-5.625,50,images_vision_drones\run1\dronecam2\image867.jpg,20
50,69.19598605,-5.625,50,images_vision_drones\run1\dronecam2\image868.jpg,20
51,69.72043128,-5.625,50,images_vision_drones\run1\dronecam2\image869.jpg,20
52,70.35501,-5.625,50,images_vision_drones\run1\dronecam2\image870.jpg,20
53,70.98958873,-5.625,50,images_vision_drones\run1\dronecam2\image871.jpg,20
54,71.62416746,-5.625,50,images_vision_drones\run1\dronecam2\image872.jpg,21
55,72.14861268,-5.625,50,images_vision_drones\run1\dronecam2\image873.jpg,21
56,72.78319141,-5.625,50,images_vision_drones\run1\dronecam2\image874.jpg,21
57,73.41777014,-5.625,50,images_vision_drones\run1\dronecam2\image875.jpg,21
58,74.05234886,-5.625,50,images_vision_drones\run1\dronecam2\image876.jpg,21
59,74.68692759,-5.625,50,images_vision_drones\run1\dronecam2\image877.jpg,21
60,75.32150632,-5.625,50,images_vision_drones\run1\dronecam2\image878.jpg,21
61,75.95608504,-5.625,50,images_vision_drones\run1\dronecam2\image879.jpg,21
62,76.59066377,-5.625,50,images_vision_drones\run1\dronecam2\image880.jpg,22
63,77.2252425,-5.625,50,images_vision_drones\run1\dronecam2\image881.jpg,22
64,77.74968773,-5.625,50,images_vision_drones\run1\dronecam2\image882.jpg,22
65,78.38426645,-5.625,50,images_vision_drones\run1\dronecam2\image883.jpg,22
66,79.01884518,-5.625,50,images_vision_drones\run1\dronecam2\image884.jpg,22
67,79.65342391,-5.625,50,images_vision_drones\run1\dronecam2\image885.jpg,22
68,80.17786914,-5.625,50,images_vision_drones\run1\dronecam2\image886.jpg,22
69,80.81244786,-5.625,50,images_vision_drones\run1\dronecam2\image887.jpg,22
70,81.44702659,-5.625,50,images_vision_drones\run1\dronecam2\image888.jpg,23
71,82.08160532,-5.625,50,images_vision_drones\run1\dronecam2\image889.jpg,23
72,82.71618404,-5.625,50,images_vision_drones\run1\dronecam2\image890.jpg,23
73,83.35076277,-5.625,50,images_vision_drones\run1\dronecam2\image891.jpg,23
74,83.9853415,-5.625,50,images_vision_drones\run1\dronecam2\image892.jpg,23
75,84.61992022,-5.625,50,images_vision_drones\run1\dronecam2\image893.jpg,23
